"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "38945", "54305",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "60407", "61095",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "12027", "14619",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "16719", "16719",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "45711", "53248",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "36568", "45325",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "8650", "9930",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "10628", "10628",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "16154", "16154",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "22583", "35791",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "37004", "39010",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "5762", "5911",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "7528", "7528",""
