"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank","State","Institute Type"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "56402", "67216","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "52325", "52325","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "13529", "14091","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "13481", "13481","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "52003", "81089","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "41323", "41323","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "11387", "12966","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "12329", "12329","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "39435", "47967","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "54448", "57854","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "7793", "7839","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "15038", "16245","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "18751", "18751","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "7472", "7723","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "9772", "9772","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2675", "2875","Punjab","NIT"
